GalleryNumber,accessionNumber,accessionYear,additionalImages,artistAlphaSort,artistBeginDate,artistDisplayBio,artistDisplayName,artistEndDate,artistGender,artistNationality,artistPrefix,artistRole,artistSuffix,artistULAN_URL,artistWikidata_URL,city,classification,constituents,country,county,creditLine,culture,department,dimensions,dynasty,excavation,geographyType,isHighlight,isPublicDomain,isTimelineWork,linkResource,locale,locus,measurements,medium,metadataDate,objectBeginDate,objectDate,objectEndDate,objectID,objectName,objectURL,objectWikidata_URL,period,portfolio,primaryImage,primaryImageSmall,region,reign,repository,rightsAndReproduction,river,state,subregion,tags,title
951,1975.1.1580,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,8.5 x 20 x 15 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, pale pink, yellow, turquoise blue, dark blue, bright blue, brown, dark red, green, black, and tan), metal wire, composition material, glass mirror plate, paint, string, coral. Assembled.",2020-09-16T18:35:19.457Z,1700,"18th century, reassembled last half 19th century",1900,460813,Figurine,https://www.metmuseum.org/art/collection/search/460813,https://www.wikidata.org/wiki/Q20188136,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1580.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1580.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Infants"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300189561"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q998""}, {""term"": ""Women"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025943"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q467""}, {""term"": ""Moses"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000167"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q9077""}]",The Finding of Moses
951,1975.1.1555,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably Bohemia or Lower Austria,Robert Lehman Collection,H. 9.4 cm,,,,False,True,False,,,,,"Colorless nonlead glass. Cut, polished, reverse gilt, painted.",2020-09-16T18:35:19.457Z,1750,second half 18th century,1800,461279,Panel,https://www.metmuseum.org/art/collection/search/461279,https://www.wikidata.org/wiki/Q20188270,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1555.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1555.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Women"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025943"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q467""}, {""term"": ""Crucifixion"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300404300"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q3235597""}, {""term"": ""Saints"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300150555"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q43115""}]",A Female Saint (possibly Rosalia)
379,"81.1.599a, b",1881,"[""https://images.metmuseum.org/CRDImages/aa/original/81.1.599ab_002july2014.jpg""]",,,,,,,,,,,,,,Daggers,,Caucasus,,"Bequest of Stephen Whitney Phoenix, 1881","Caucasian, possibly northern Dagestan",Arms and Armor,L. with sheath 23 1/8 in. (58.7 cm); L. of sheath 18 3/4 in. (47.6 cm); W. 2 1/8 in. (5.4 cm); Wt. 1 lb. 4.8 oz. (589.7 g); Wt. of sheath 12 oz. (340.2 g),,,Country of Origin,False,True,True,,,,,"Steel, wood, silver, niello",2025-03-06T04:54:30Z,1815,ca. 1840–50,1875,24991,Dagger (Kindjal) with sheath,https://www.metmuseum.org/art/collection/search/24991,https://www.wikidata.org/wiki/Q78813071,,,https://images.metmuseum.org/CRDImages/aa/original/81.1.599ab_001july2014.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/81.1.599ab_001july2014.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Dagger (Kindjal) with Sheath
951,1975.1.1557,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",Italian,Robert Lehman Collection,H. 5 cm,,,,False,True,False,,,,,"Rock crystal. Cut, polished, reverse painted, reverse gilt.",2020-09-16T18:35:19.457Z,1575,late 16th century,1600,461472,Plaque,https://www.metmuseum.org/art/collection/search/461472,https://www.wikidata.org/wiki/Q20188280,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1557.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1557.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}, {""term"": ""Virgin Mary"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000032"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q345""}]",The Deposition
684,2003.150a–g,2003,"[""https://images.metmuseum.org/CRDImages/mi/original/DP222236.jpg""]",Esposito Giosue,1866,"Naples, active late 19th century",Giosue Esposito,1899,,Naples,,Maker,,,,Naples,Aerophone-Reed Vibrated-double reed,"[{""constituentID"": 155385, ""role"": ""Maker"", ""name"": ""Giosue Esposito"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",Italy,,"Purchase, Clara Mertens Bequest, in memory of André Mertens, 2003",Italian,Musical Instruments,"51 3/4 × 3 1/2 × 2 in. (131.4 × 8.9 × 5.1 cm)
Width (With bocal): 11 in. (27.9 cm)",,,,True,True,True,,,,"[{""elementName"": ""Width"", ""elementDescription"": ""With bocal"", ""elementMeasurements"": {""Width"": 27.940056}}, {""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 5.08001, ""Height"": 131.44527, ""Width"": 8.8900175}}]","Maple, nickel-silver",2025-01-31T04:54:36.6Z,1881,1881,1881,503615,Bassoon,https://www.metmuseum.org/art/collection/search/503615,https://www.wikidata.org/wiki/Q29385647,,,https://images.metmuseum.org/CRDImages/mi/original/DP218094.jpg,https://images.metmuseum.org/CRDImages/mi/web-large/DP218094.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Bassoon
951,1975.1.1556,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",Italian,Robert Lehman Collection,H. 5 cm,,,,False,True,False,,,,,"Rock crystal. Cut, polished, reverse painted, reverse gilt.",2020-09-16T18:35:19.457Z,1575,late 16th century,1600,461346,Plaque,https://www.metmuseum.org/art/collection/search/461346,https://www.wikidata.org/wiki/Q20188274,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1556.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1556.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Adoration of the Shepherds"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000229"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q1029715""}]",Adoration of the Shepherds
951,1975.1.1573,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,27 x 36 x 18 cm,,,,False,True,False,,,,,"Figures and flowers of lampworked glass (opaque white, pink, lavender, green, brown, purple, black, blue, light blue, and colorless), cardboard, paper, shells, glass mirror plate, glass chips, imitation leather (paper), cloth, paint, composition material, wire, fabric. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461715,Figurine,https://www.metmuseum.org/art/collection/search/461715,https://www.wikidata.org/wiki/Q20188304,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1573.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1573.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}]",The Supper at Emmaus
952,1975.1.65a–f,1975,"[""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065b-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065c-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065d-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065e-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065f-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0039.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0040.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0041.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0042.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0043.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0044.jpg""]",Jacopo di Cione,1355,"Italian, Florence, active ca. 1360–1400",Jacopo di Cione,1400,,Italian,,Artist,,http://vocab.getty.edu/page/ulan/500031302,https://www.wikidata.org/wiki/Q2258950,,Paintings,"[{""constituentID"": 164535, ""role"": ""Artist"", ""name"": ""Jacopo di Cione"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500031302"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q2258950"", ""gender"": """"}]",,,"Robert Lehman Collection, 1975",,Robert Lehman Collection,Top left 9 3/4 x 3 7/8 in. (24.8 x 9.8 cm); center left 11 1/8 x 5 1/4 in. (28.3 x 13.3 cm); bottom left 9 7/8 x 3 7/8 in. (25.1 x 9.8 cm); top right (9 3/4 x 3 7/8 in. (24.8 x 9.8 cm); center right 11 1/8 x 5 1/4 in. (28.3 x 13.3 cm); bottom right 10 x 3 7/8 in. (25.4 x 9.8 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 24.8, ""Width"": 9.8}}]","Tempera on wood, gold ground",2020-09-16T18:35:19.457Z,1360,ca. 1365,1370,459006,Painting,https://www.metmuseum.org/art/collection/search/459006,https://www.wikidata.org/wiki/Q20185404,,,https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065a-001.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/LC-1975_1_065a-001.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Angels"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300379004"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q235113""}]",Six Angels
951,1975.1.1578,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,63.5 x 81.9 x 37.2 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, turquoise blue, bright blue, light blue, green, yellow, orange, yellow-orange, brown, yellowish brown, dark brown, black, gray, gold aventurine, and colorless), mirror and glass plate (some reverse painted),  wood, cardboard, paper, fabric, shells, glass bead, paint, wire, composition material, cork, metal. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461001,Figurine,https://www.metmuseum.org/art/collection/search/461001,https://www.wikidata.org/wiki/Q20187398,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1578.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1578.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}]",The Life of Christ
951,1975.1.1575,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,29.5 x 31.3 x 23 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, black, red, yellow, brown, pink, green, light green, blue, bright blue, light blue, gold aventurine, and colorless), cardboard, papier-mâché, glass mirror plate, glass seed beads, shells, paper, ivory(?), wire, wood, cork, paint. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461717,Figurine,https://www.metmuseum.org/art/collection/search/461717,https://www.wikidata.org/wiki/Q20188308,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1575.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1575.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}, {""term"": ""Entombment"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901001053"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q51637""}]",The Crucifixion and the Entombment
