k,condition,bic,aic,log_likelihood,log_likelihood_per_sample,converged,n_iter,time_s
8,raw,54123364.16422893,53998381.878554486,-26984847.939277243,-600.0233015204066,True,14,4.26
16,raw,48108873.78693981,47858900.501773335,-23900763.250886668,-531.4469404061697,True,22,6.18
32,raw,44854655.480781555,44354700.196631014,-22119975.098315507,-491.8501122521403,True,63,23.92
48,raw,42734357.49562615,41984420.21249155,-20906147.106245775,-464.85996278313155,True,33,17.45
64,raw,41937837.87600168,40937918.59388301,-20354208.296941504,-452.5872923074179,True,31,17.91
80,raw,40828174.917923756,39578273.636821024,-19645697.818410512,-436.83316252886203,True,87,42.63
96,raw,39440890.51129762,37941007.23121083,-18798376.615605414,-417.9924980678499,True,57,34.96
128,raw,37970914.96304514,35971067.68499022,-17756030.84249511,-394.81535237798477,True,56,37.79
160,raw,36619748.76300347,34119937.486980416,-16773089.743490208,-372.9591030949727,True,37,41.91
192,raw,36051531.330541395,33051756.056550212,-16181623.028275106,-359.8075073549709,True,98,83.33
256,raw,34633229.39134924,30633526.121421807,-14857756.060710903,-330.3705792522381,True,75,88.15
320,raw,34090655.32029376,29091024.054430068,-13971753.027215034,-310.66980248627027,True,98,128.65
384,raw,34351933.10217503,28352373.840375077,-13487675.920187538,-299.906075204846,True,61,103.95
512,raw,34858482.434510484,26859067.180838022,-12511518.590419011,-278.20066685386814,True,45,125.66
